id_source,titre,url_recuperable,format,langue,acces,couche,theme,licence_indicative,note_chunking
S1,Diet and Endometriosis: An Umbrella Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12192176/,HTML+PDF,EN,integral,1,alimentation,MDPI - CC BY (a confirmer sur la page),Chunker integralement. Source de synthese la plus haute du corpus.
S2,ESHRE Guideline: Endometriosis (2022),https://www.eshre.eu/-/media/sitecore-files/Guidelines/Endometriosis/ESHRE-GUIDELINE-ENDOMETRIOSIS-2022_2.pdf,PDF,EN,integral,1,cadre,Acces libre ESHRE (a confirmer),Chunker en priorite le chapitre Non-medical management strategies. Exclure diagnostic/chirurgie/fertilite.
S3,"Food groups and nutrients consumption and risk of endometriosis: a systematic review and meta-analysis of observational studies (Arab et al., 2022)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9503255/,HTML+PDF,EN,integral,1,alimentation,BMC - CC BY (a confirmer),"Chunker integralement. Marquer les chunks: porte sur le RISQUE de developper la maladie, pas sur les symptomes."
S4,"Dietary and Nutritional Interventions for the Management of Endometriosis (Nutrients, 2024)",https://www.mdpi.com/2072-6643/16/23/3988,HTML+PDF,EN,integral,2,alimentation,MDPI - CC BY -telechargment manuel car antibot,Chunker integralement. Source principale pour les mecanismes (inflammation / oestrogenes / microbiote).
S5,"Endo Belly: What Is It and Why Does It Happen? A Narrative Review (Velho et al., 2023)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671958/,HTML+PDF,EN,integral,2,digestif,MDPI - CC BY (a confirmer),Chunker integralement. Seule source du corpus couvrant le volet digestif.
S6,Endometriose : l'alimentation est une alliee precieuse ! - Fondation pour la Recherche sur l'Endometriose,https://www.fondation-endometriose.org/endometriose-alimentation/,HTML,FR,reference_editoriale,3,alimentation,Page web protegee - pas de reutilisation du texte integral,NE PAS scraper le texte integral. Indexer une synthese redigee en reformulation originale + lien + attribution.
S7,Prise en charge de l'endometriose - Recommandation de bonne pratique HAS/CNGOF (2018),https://www.has-sante.fr/jcms/c_2819733/fr/prise-en-charge-de-l-endometriose,HTML+PDF,FR,integral,1,redirection,HAS - reutilisation encadree (a verifier),EN RESERVE. A n'activer que pour la couche redirection (parcours de soins). Ne pas indexer pour repondre sur les traitements.
S8,"Endometriose - Une maladie gynecologique frequente mais encore mal connue (Dossier Inserm, maj 01/07/2024)",https://www.inserm.fr/dossier/endometriose/,HTML,FR,synthese,1,maladie,(c) Inserm - page web protegee,"NE PAS scraper le texte integral. Synthese ciblee sur: comprendre / chiffres / formes / origine / symptomes / microbiote / enjeux de la recherche. EXCLURE: traitement hormonal, chirurgie, AMP, diagnostic detaille."
S9,"Diagnosis and management of endometriosis (Allaire, Bedaiwy & Yong, CMAJ, 2023)",https://www.cmaj.ca/content/195/10/e363,HTML+PDF,EN,integral,1,maladie,CMAJ – telechargment manuel car antibot,"Chunking selectif: garder definition, epidemiologie, physiopathologie, impact. EXCLURE les sections management/chirurgie/hormonal. Version francaise publiee par le CMAJ a rechercher."
S10,"Endometriosis - Fiche descriptive OMS (publiee 03/2021, actualisee 03/2023)",https://www.who.int/news-room/fact-sheets/detail/endometriosis,HTML,EN,integral,3,maladie,OMS - licence CC BY-NC-SA IGO probable (a verifier),"Document court. Source des chiffres de reference (~190 millions, ~10%). URL de la version FR a confirmer, ne pas la deviner."
